,name,lr,hr,crs,x,y,lon,lat,LC_detail_id,LC_superclass_id,LC_superclass_text,LC_detail_text
0,2018_MLBS_3__0_2.tif,neon_10m_linearized/2018_MLBS_3__0_2.tif,neon_2.5m_linearized/2018_MLBS_3__0_2.tif,EPSG:32617,540400.0,4144720.0,-80.54325020048908,37.448448298909405,41.0,40.0,Forest,Deciduous
1,2018_MLBS_3__1_1.tif,neon_10m_linearized/2018_MLBS_3__1_1.tif,neon_2.5m_linearized/2018_MLBS_3__1_1.tif,EPSG:32617,537840.0,4142160.0,-80.57232332530769,37.42548201629058,41.0,40.0,Forest,Deciduous
2,2018_MLBS_3__1_2.tif,neon_10m_linearized/2018_MLBS_3__1_2.tif,neon_2.5m_linearized/2018_MLBS_3__1_2.tif,EPSG:32617,540400.0,4142160.0,-80.54339041056222,37.4253738000532,41.0,40.0,Forest,Deciduous
3,2018_MLBS_3__1_3.tif,neon_10m_linearized/2018_MLBS_3__1_3.tif,neon_2.5m_linearized/2018_MLBS_3__1_3.tif,EPSG:32617,542960.0,4142160.0,-80.51445765556987,37.42525850283796,41.0,40.0,Forest,Deciduous
4,2018_MLBS_3__1_4.tif,neon_10m_linearized/2018_MLBS_3__1_4.tif,neon_2.5m_linearized/2018_MLBS_3__1_4.tif,EPSG:32617,545520.0,4142160.0,-80.48552507045157,37.42513612476981,41.0,40.0,Forest,Deciduous
5,2018_MLBS_3__2_1.tif,neon_10m_linearized/2018_MLBS_3__2_1.tif,neon_2.5m_linearized/2018_MLBS_3__2_1.tif,EPSG:32617,537840.0,4139600.0,-80.57245450206699,37.40240733698209,41.0,40.0,Forest,Deciduous
6,2018_MLBS_3__2_2.tif,neon_10m_linearized/2018_MLBS_3__2_2.tif,neon_2.5m_linearized/2018_MLBS_3__2_2.tif,EPSG:32617,540400.0,4139600.0,-80.5435304608822,37.40229921045436,41.0,40.0,Forest,Deciduous
7,2018_MLBS_3__2_3.tif,neon_10m_linearized/2018_MLBS_3__2_3.tif,neon_2.5m_linearized/2018_MLBS_3__2_3.tif,EPSG:32617,542960.0,4139600.0,-80.51460657925877,37.40218400881854,41.0,40.0,Forest,Deciduous
8,2018_MLBS_3__2_4.tif,neon_10m_linearized/2018_MLBS_3__2_4.tif,neon_2.5m_linearized/2018_MLBS_3__2_4.tif,EPSG:32617,545520.0,4139600.0,-80.48568286730544,37.402061732199385,41.0,40.0,Forest,Deciduous
9,2018_MLBS_3__3_1.tif,neon_10m_linearized/2018_MLBS_3__3_1.tif,neon_2.5m_linearized/2018_MLBS_3__3_1.tif,EPSG:32617,537840.0,4137040.0,-80.57258552937404,37.37933256700499,43.0,40.0,Forest,Mixed
10,2018_MLBS_3__3_2.tif,neon_10m_linearized/2018_MLBS_3__3_2.tif,neon_2.5m_linearized/2018_MLBS_3__3_2.tif,EPSG:32617,540400.0,4137040.0,-80.54367035164078,37.37922453013277,43.0,40.0,Forest,Mixed
11,2018_MLBS_3__3_3.tif,neon_10m_linearized/2018_MLBS_3__3_3.tif,neon_2.5m_linearized/2018_MLBS_3__3_3.tif,EPSG:32617,542960.0,4137040.0,-80.51475533327745,37.37910942401864,41.0,40.0,Forest,Deciduous
12,2018_MLBS_3__3_4.tif,neon_10m_linearized/2018_MLBS_3__3_4.tif,neon_2.5m_linearized/2018_MLBS_3__3_4.tif,EPSG:32617,545520.0,4137040.0,-80.4858404843807,37.37898724878725,41.0,40.0,Forest,Deciduous
13,2018_MLBS_3__4_1.tif,neon_10m_linearized/2018_MLBS_3__4_1.tif,neon_2.5m_linearized/2018_MLBS_3__4_1.tif,EPSG:32617,537840.0,4134480.0,-80.57271640740814,37.35625770637919,41.0,40.0,Forest,Deciduous
14,2018_MLBS_3__4_2.tif,neon_10m_linearized/2018_MLBS_3__4_2.tif,neon_2.5m_linearized/2018_MLBS_3__4_2.tif,EPSG:32617,540400.0,4134480.0,-80.5438100830294,37.356149759108376,41.0,40.0,Forest,Deciduous
15,2018_MLBS_3__4_3.tif,neon_10m_linearized/2018_MLBS_3__4_3.tif,neon_2.5m_linearized/2018_MLBS_3__4_3.tif,EPSG:32617,542960.0,4134480.0,-80.5149039178295,37.35603474845834,41.0,40.0,Forest,Deciduous
16,2018_MLBS_3__4_4.tif,neon_10m_linearized/2018_MLBS_3__4_4.tif,neon_2.5m_linearized/2018_MLBS_3__4_4.tif,EPSG:32617,545520.0,4134480.0,-80.48599792189299,37.35591267455354,41.0,40.0,Forest,Deciduous
17,2018_MLBS_3__5_1.tif,neon_10m_linearized/2018_MLBS_3__5_1.tif,neon_2.5m_linearized/2018_MLBS_3__5_1.tif,EPSG:32617,537840.0,4131920.0,-80.57284713634827,37.33318275512459,41.0,40.0,Forest,Deciduous
18,2018_MLBS_3__5_2.tif,neon_10m_linearized/2018_MLBS_3__5_2.tif,neon_2.5m_linearized/2018_MLBS_3__5_2.tif,EPSG:32617,540400.0,4131920.0,-80.54394965523913,37.33307489740121,41.0,40.0,Forest,Deciduous
19,2018_MLBS_3__5_3.tif,neon_10m_linearized/2018_MLBS_3__5_3.tif,neon_2.5m_linearized/2018_MLBS_3__5_3.tif,EPSG:32617,542960.0,4131920.0,-80.51505233311809,37.3329599821577,41.0,40.0,Forest,Deciduous
20,2018_MLBS_3__5_4.tif,neon_10m_linearized/2018_MLBS_3__5_4.tif,neon_2.5m_linearized/2018_MLBS_3__5_4.tif,EPSG:32617,545520.0,4131920.0,-80.48615518005762,37.33283800951841,81.0,80.0,Rural,Pasture
21,2018_OAES_3__0_1.tif,neon_10m_linearized/2018_OAES_3__0_1.tif,neon_2.5m_linearized/2018_OAES_3__0_1.tif,EPSG:32614,486840.0,3921700.0,-99.14499455226644,35.43865810372732,71.0,70.0,Rural,Grassland
22,2018_OAES_3__0_2.tif,neon_10m_linearized/2018_OAES_3__0_2.tif,neon_2.5m_linearized/2018_OAES_3__0_2.tif,EPSG:32614,489400.0,3921700.0,-99.11678898370792,35.43868867987137,71.0,70.0,Rural,Grassland
23,2018_OAES_3__0_3.tif,neon_10m_linearized/2018_OAES_3__0_3.tif,neon_2.5m_linearized/2018_OAES_3__0_3.tif,EPSG:32614,491960.0,3921700.0,-99.08858337724718,35.43871266725133,71.0,70.0,Rural,Grassland
24,2018_OAES_3__0_4.tif,neon_10m_linearized/2018_OAES_3__0_4.tif,neon_2.5m_linearized/2018_OAES_3__0_4.tif,EPSG:32614,494520.0,3921700.0,-99.06037774203789,35.43873006584212,71.0,70.0,Rural,Grassland
25,2018_OAES_3__0_5.tif,neon_10m_linearized/2018_OAES_3__0_5.tif,neon_2.5m_linearized/2018_OAES_3__0_5.tif,EPSG:32614,497080.0,3921700.0,-99.03217208723376,35.43874087562553,71.0,70.0,Rural,Grassland
26,2018_OAES_3__1_0.tif,neon_10m_linearized/2018_OAES_3__1_0.tif,neon_2.5m_linearized/2018_OAES_3__1_0.tif,EPSG:32614,484280.0,3919140.0,-99.1731506637888,35.415538025497455,71.0,70.0,Rural,Grassland
27,2018_OAES_3__1_1.tif,neon_10m_linearized/2018_OAES_3__1_1.tif,neon_2.5m_linearized/2018_OAES_3__1_1.tif,EPSG:32614,486840.0,3919140.0,-99.14495318859449,35.41557515887792,82.0,80.0,Rural,Crops
28,2018_OAES_3__1_2.tif,neon_10m_linearized/2018_OAES_3__1_2.tif,neon_2.5m_linearized/2018_OAES_3__1_2.tif,EPSG:32614,489400.0,3919140.0,-99.11675566639786,35.415605709109954,71.0,70.0,Rural,Grassland
29,2018_OAES_3__1_3.tif,neon_10m_linearized/2018_OAES_3__1_3.tif,neon_2.5m_linearized/2018_OAES_3__1_3.tif,EPSG:32614,491960.0,3919140.0,-99.08855810634216,35.4156296761616,71.0,70.0,Rural,Grassland
30,2018_OAES_3__1_4.tif,neon_10m_linearized/2018_OAES_3__1_4.tif,neon_2.5m_linearized/2018_OAES_3__1_4.tif,EPSG:32614,494520.0,3919140.0,-99.06036051757056,35.41564706000779,71.0,70.0,Rural,Grassland
31,2018_OAES_3__1_5.tif,neon_10m_linearized/2018_OAES_3__1_5.tif,neon_2.5m_linearized/2018_OAES_3__1_5.tif,EPSG:32614,497080.0,3919140.0,-99.03216290922644,35.41565786063035,71.0,70.0,Rural,Grassland
32,2018_OAES_3__2_0.tif,neon_10m_linearized/2018_OAES_3__2_0.tif,neon_2.5m_linearized/2018_OAES_3__2_0.tif,EPSG:32614,484280.0,3916580.0,-99.17310130995382,35.39245502368088,82.0,80.0,Rural,Crops
33,2018_OAES_3__2_1.tif,neon_10m_linearized/2018_OAES_3__2_1.tif,neon_2.5m_linearized/2018_OAES_3__2_1.tif,EPSG:32614,486840.0,3916580.0,-99.14491187192483,35.39249212558335,82.0,80.0,Rural,Crops
34,2018_OAES_3__2_2.tif,neon_10m_linearized/2018_OAES_3__2_2.tif,neon_2.5m_linearized/2018_OAES_3__2_2.tif,EPSG:32614,489400.0,3916580.0,-99.11672238694696,35.3925226499179,71.0,70.0,Rural,Grassland
35,2018_OAES_3__2_3.tif,neon_10m_linearized/2018_OAES_3__2_3.tif,neon_2.5m_linearized/2018_OAES_3__2_3.tif,EPSG:32614,491960.0,3916580.0,-99.08853286415298,35.39254659665262,71.0,70.0,Rural,Grassland
36,2018_OAES_3__2_4.tif,neon_10m_linearized/2018_OAES_3__2_4.tif,neon_2.5m_linearized/2018_OAES_3__2_4.tif,EPSG:32614,494520.0,3916580.0,-99.0603433126758,35.39256396576248,82.0,80.0,Rural,Crops
